scenario,variant,delta_deg,n,post_success_rate,post_wilson_lo,post_wilson_hi,adoption_rate,adoption_wilson_lo,adoption_wilson_hi,recovery_required_n,recovery_rate_required,recovery_wilson_lo,recovery_wilson_hi,within_tolerance_rate,median_detect_delay,median_recovery_time,median_post_time_to_goal,median_theta_err,median_station_rmse,median_adoptions
control,supervised,0,200,1,0.981154,1,0,0,0.018846,0,0,0,1,0,0,0,14.46,0.030232,0.0683983,0
control,fixed_decay,0,200,1,0.981154,1,0,0,0.018846,0,0,0,1,0,0,0,14.43,0.0284808,0.0674421,0
