method,n,success_rate,wilson_lo,wilson_hi,median_ttg,median_station_rmse,rmse_ci_lo,rmse_ci_hi,q90_station_rmse,median_theta_err,median_runtime_us,never_certified,no_reach,hold_broken
proposed,200,1,0.981154,1,14,0.0639302,0.0582546,0.0694303,0.117266,0.0347979,3.59847,0,0,0
proposed_smoother,200,1,0.981154,1,14,0.0639302,0.0582546,0.0694303,0.117266,0.0347979,181.716,0,0,0
oracle_yaw,200,1,0.981154,1,12.85,0.0652683,0.0594444,0.0715283,0.110146,0,4.06331,0,0,0
ekf,200,1,0.981154,1,14.17,0.086841,0.0797393,0.0950187,0.171562,0.0571652,0.283572,0,0,0
endpoint_only,200,0.97,0.936105,0.98618,27.06,0.070813,0.0640564,0.0785239,0.168999,0.0705204,0.246584,1,4,1
fixed_decay_exc,200,1,0.981154,1,14.01,0.0625417,0.0588422,0.0681606,0.120291,0.0357046,3.49384,0,0,0
no_excitation,200,0,0,0.018846,0,10.3256,9.77926,11.0267,14.3203,1.67621,3.62313,200,0,0
